A2IBPI20UZIR0U,1384719342,5
A14VAT5EAX3D9S,1384719342,5
A195EZSQDW3E21,1384719342,5
A2C00NNG1ZQQG2,1384719342,5
A94QU4C90B1AX,1384719342,5
A2A039TZMZHH9Y,B00004Y2UT,5
A1UPZM995ZAH90,B00004Y2UT,5
AJNFQI3YR6XJ5,B00004Y2UT,3
A3M1PLEYNDEYO8,B00004Y2UT,5
AMNTZU1YQN1TH,B00004Y2UT,5
A2NYK9KWFMJV4Y,B00004Y2UT,5
A35QFQI0M46LWO,B00005ML71,4
A2NIT6BKW11XJQ,B00005ML71,3
A1C0O09LOLVI39,B00005ML71,5
A17SLR18TUMULM,B00005ML71,5
A2PD27UKAD3Q00,B00005ML71,2
AKSFZ4G1AXYFC,B000068NSX,4
A67OJZLHBBUQ9,B000068NSX,5
A2EZWZ8MBEDOLN,B000068NSX,5
A1CL807EOUPVP1,B000068NSX,5
A1GMWTGXW682GB,B000068NSX,4
A2G12DY50U700V,B000068NSX,5
A3E0CF25A7LD2,B000068NSX,4
A2W3CLAYZLDPTV,B000068NTU,5
A398X9POBHK69N,B000068NTU,5
AXWB93VKVML6K,B000068NTU,4
A2FZ4Z0UFA1OR8,B000068NTU,5
AXP9CF1UTFRSU,B000068NTU,5
A2CCGGDGZ694CT,B000068NVI,4
A27DR1VO079F1V,B000068NVI,5
A1LQC225SE8UNI,B000068NVI,5
AU9BPT3Y3K6J4,B000068NVI,5
A14Z9LAETO21KL,B000068NVI,4
A2074KEJGRYJV4,B000068NVI,5
A7TRK2GG6BHWD,B000068NVI,5
A319B090A2POEB,B000068NVI,4
A396ELNTQDFYPO,B000068NVI,4
A17CU1D2CWXOHB,B000068NVI,4
A1S0HTDO0P4N5V,B000068NVI,5
A3DWQW2L39RB1S,B000068NVI,4
AQQ91U1U4YKDF,B000068NVI,5
AA5TINW2RJ195,B000068NW5,5
ABC68JUCPTVOE,B000068NW5,5
A3W2E6S24BTXXK,B000068NW5,5
A3872Y2XH0YDX1,B000068NW5,5
A398X9POBHK69N,B000068NW5,4
A13A81NN0NRD1S,B000068NW5,4
A1EUO0BU72JR7T,B000068NW5,5
A1H4WSC8JWS59N,B000068NW5,5
A3OXHLG6DIBRW8,B000068NW5,5
A12ABV9NU02O29,B000068NW5,2
A2U1Z3TZ4P76JB,B000068NW5,5
A1L7M2JXN4EZCR,B000068NW5,1
A37A41GWQFMK3D,B000068NW5,4
A2JK2ITE138P7Z,B000068NW5,5
A1DVUFG2QSJ6IK,B000068NW5,5
A34VZEFXQJJ7AT,B000068NW5,5
A1SD1C8XK3Z3V1,B000068NW5,5
AKHWZ3S1UVZAO,B000068NW5,4
A3LNNEYLGGCO25,B000068NW5,3
AMACM7BGUQCZD,B000068NW5,5
A38HMS5RYSYF8G,B000068NW5,5
A6D91KPQGIDKZ,B000068NW5,5
A2RCCN4KEXZGC8,B000068NW5,5
A3GAP455S8YH0M,B000068NW5,5
A1N06X05VZWO5Y,B000068NW5,5
A3TA1UJWRJF9NC,B000068NW5,5
